specimen_collector_sample_id	sampling_site_id	sampling_event_id	insdc_project_accession	insdc_sample_accession	insdc_sequence_read_accession	sample_collection_project_name	organism	taxonomic_identification_process	purpose_of_sampling	sample_collected_by_organisation_name	sample_collected_by_contact_email	sample_collection_data_steward_name	sample_collection_start_date	sample_collection_end_date	sample_collection_time_duration_value	sample_collection_time_duration_unit	geo_loc_name_country	geo_loc_name_state_province_territory	geo_loc_name_site	geo_loc_name_city	geo_loc_latitude	geo_loc_longitude	environmental_site	proximal_environmental_site	presampling_activity_id	presampling_activity_date	presampling_activity	presampling_activity_details	collection_device	collection_method	environmental_material	environmental_material_properties	anatomical_material	anatomical_part	body_product	experimental_specimen_role_type	specimen_processing	specimen_processing_details	experimental_protocol_name	experimental_protocol_url	experimental_control_details	nucleic_acid_extraction_method	nucleic_acid_extraction_kit	endogenous_control_details	available_data_types	available_data_type_details	populated_area_type	water_catchment_area_human_population_measurement_value	water_catchment_area_human_population_range	presampling_weather_conditions	sampling_weather_conditions	precipitation_measurement_value	precipitation_measurement_unit	water_depth_value	water_depth_units	sediment_depth_value	sediment_depth_units	ph_measurement_value	total_daily_flow_rate_measurement_value	total_daily_flow_rate_measurement_unit	instantaneous_flow_rate_measurement_value	instantaneous_flow_rate_measurement_unit	turbidity_measurement_value	turbidity_measurement_unit	conductivity_measurement_value	conductivity_measurement_unit	salinity_measurement_value	salinity_measurement_unit	dissolved_oxygen_measurement_value	dissolved_oxygen_measurement_unit	carbonaceous_biochemical_oxygen_demand_cbod_measurement_value	carbonaceous_biochemical_oxygen_demand_cbod_measurement_unit	total_suspended_solids_tss_measurement_value	total_suspended_solids_tss_measurement_unit	fecal_contamination_indicator	fecal_contamination_value	fecal_contamination_unit	host_common_name	host_scientific_name	host_age	host_age_unit	host_age_bin	isolate_id	microbiological_method	strain_id	isolated_by_organisation_name	purpose_of_sequencing	assay_type	sequencing_date	sequenced_by_organisation_name	sequenced_by_contact_email	sequence_submitted_by	sequencing_protocol	sequencing_instrument	library_id	library_preparation_kit	genomic_target_enrichment_method	genomic_target_enrichment_method_details	amplicon_pcr_primer_scheme_name	amplicon_pcr_primer_scheme_url	amplicon_size	raw_sequence_data_processing_method	dehosting_method	genome_sequence_file_name	sequence_assembly_software_name	sequence_assembly_software_version	consensus_sequence_software_name	consensus_sequence_software_version	breadth_of_coverage_value	depth_of_coverage_value	genome_completeness	reference_genome_accession	bioinformatics_protocol_url	quality_control_method_name	quality_control_method_version	quality_control_determination	quality_control_issues	quality_control_details	read_mapping_software_name	read_mapping_software_version	taxonomic_reference_database_name	taxonomic_reference_database_version	viral_type	viral_subtype	viral_lineage	viral_clade_	viral_classification_scheme	lineage_clade_analysis_software_name	lineage_clade_analysis_software_version	target_taxonomic_name_1	assay_target_name_1	gene_symbol_1	diagnostic_target_presence_1	diagnostic_measurement_value_1	diagnostic_measurement_unit_1	diagnostic_measurement_method_1	target_taxonomic_name_2	assay_target_name_2	gene_symbol_2	diagnostic_target_presence_2	diagnostic_measurement_value_2	diagnostic_measurement_unit_2	diagnostic_measurement_method_2	target_taxonomic_name_3	assay_target_name_3	gene_symbol_3	diagnostic_target_presence_3	diagnostic_measurement_value_3	diagnostic_measurement_unit_3	diagnostic_measurement_method_3	authors
21-WW-BAR-01-Illumina	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	PRJNA708265	SAMN19697742	SRS9205637		Severe acute respiratory syndrome coronavirus 2 [NCBITaxon:2697049]		Cluster/Outbreak investigation [GENEPIO:0100001]	University of Ottawa	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	2021-01-26	2021-01-26			Canada [GAZ:00002560]	Ontario [GAZ:00002563]	Barrie	Barrie	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Wastewater treatment plant [ENVO:00002272]	Not collected [GENEPIO:0001620]					Automatic composite sampler [GENEPIO:0100950]	Automatic composite sampling [GENEPIO:0100956]	Wastewater [ENVO:00002001]																																																								Research [GENEPIO:0100022]	Amplicon sequencing assay [OBI:0002767]	Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]	joe.bloggs@phac.ca	Public Health Agency of Canada (PHAC) [GENEPIO:0100551]		Illumina MiSeq [OBI:0002003]	21-WW-BAR-01-Illumina				artic-v3 [GENEPIO:0100849]		250																																																		
21-WW-BAR-01	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	PRJNA708265	SAMN18228019	SRS8414803		Severe acute respiratory syndrome coronavirus 2 [NCBITaxon:2697049]		Cluster/Outbreak investigation [GENEPIO:0100001]	University of Ottawa	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	2021-01-26	2021-01-26			Canada [GAZ:00002560]	Ontario [GAZ:00002563]	Barrie	Barrie	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Wastewater treatment plant [ENVO:00002272]	Not collected [GENEPIO:0001620]					Automatic composite sampler [GENEPIO:0100950]	Automatic composite sampling [GENEPIO:0100956]	Wastewater [ENVO:00002001]																																																								Research [GENEPIO:0100022]	Amplicon sequencing assay [OBI:0002767]	Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]	joe.bloggs@phac.ca	Public Health Agency of Canada (PHAC) [GENEPIO:0100551]		Oxford Nanopore MinION [GENEPIO:0100142]	21-WW-BAR-01				artic-v3 [GENEPIO:0100849]		250																																																		
Sample-001	Site 12A	Event 120522.1	PRJNA608651	SAMN14180202	SRR123456		Vibrio cholerae [NCBITaxon:666]		Targeted surveillance (non-random sampling) [GENEPIO:0100006]	McMaster University	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	2023-05-12	2023-05-12			Democratic Republic of the Congo [GAZ:00001086]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Farm [ENVO:00000078]	Not collected [GENEPIO:0001620]			Agricultural activity [ENVO:01001442]	Agricultural waste from large farm contributes waste to the site sampled.	Grab sampler [GENEPIO:0100941]	Grab sampling [GENEPIO:0100953]	Wastewater [ENVO:00002001]																																																								Research [GENEPIO:0100022]	Whole genome sequencing assay [OBI:0002117]	Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]		Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]																																																								
Sample-002	Site 12A	Event 120522.1	PRJNA608651	SAMN14180203	SRR123457		Vibrio cholerae [NCBITaxon:666]		Targeted surveillance (non-random sampling) [GENEPIO:0100006]	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	2023-05-12	2023-05-12			Democratic Republic of the Congo [GAZ:00001086]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Farm [ENVO:00000078]	Not collected [GENEPIO:0001620]			Agricultural activity [ENVO:01001442]	Agricultural waste from large farm contributes waste to the site sampled.	Grab sampler [GENEPIO:0100941]	Grab sampling [GENEPIO:0100953]	Wastewater [ENVO:00002001]																																																								Research [GENEPIO:0100022]	Whole genome sequencing assay [OBI:0002117]	Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]		Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]																																																								
Sample-003	Site 12A	Event 120522.1	PRJNA608651	SAMN14180204	SRR123458		Vibrio cholerae [NCBITaxon:666]		Targeted surveillance (non-random sampling) [GENEPIO:0100006]	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	2023-05-12	2023-05-12			Democratic Republic of the Congo [GAZ:00001086]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Farm [ENVO:00000078]	Not collected [GENEPIO:0001620]			Agricultural activity [ENVO:01001442]	Agricultural waste from large farm contributes waste to the site sampled.	Grab sampler [GENEPIO:0100941]	Grab sampling [GENEPIO:0100953]	Wastewater [ENVO:00002001]																																																								Research [GENEPIO:0100022]	Whole genome sequencing assay [OBI:0002117]	Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]		Missing [GENEPIO:0001618]	Missing [GENEPIO:0001618]																																																								
WWTP1-WW-07Feb21	WWTP#1	EpiWeek5	PRJNA731975	SAMN19321363	Not collected [GENEPIO:0001620]	Wastewater SARS-CoV-2 surveillance	Severe acute respiratory syndrome coronavirus 2 [NCBITaxon:2697049]		Cluster/Outbreak investigation [GENEPIO:0100001]	University of British Columbia	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	2021-02-07	2021-02-08	24	Hour [UO:0000032]	Canada [GAZ:00002560]	British Columbia [GAZ:00002562]	WWTP#1	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Wastewater treatment plant [ENVO:00002272]	Not collected [GENEPIO:0001620]					Automatic composite sampler [GENEPIO:0100950]	Automatic composite sampling [GENEPIO:0100956]	Wastewater [ENVO:00002001]																												596	liter per day (L/day) [GENEPIO:0102198]	23	liter per hour (L/h) [GENEPIO:0102197]																									Research [GENEPIO:0100022]	Amplicon sequencing assay [OBI:0002767]	2021-02-27	University of British Columbia	smith@ubc.ca	University of British Columbia		Oxford Nanopore MinION [GENEPIO:0100142]	WWTP1-WW-07Feb21-ONT				artic-v3 [GENEPIO:0100849]		250																														N1	N gene (orf9) [GENEPIO:0100153]	diagnostic target present [GENEPIO:0100987]	6.81E+03	copies per liter (C/L) [GENEPIO:0102202]	Quantitative real time polymerase chain reaction (qPCR) [OBI:0000893]															
WWTP1-PS-07Feb21	WWTP#1	EpiWeek5	PRJNA731975	SAMN19321367	Not collected [GENEPIO:0001620]	Wastewater SARS-CoV-2 surveillance	Severe acute respiratory syndrome coronavirus 2 [NCBITaxon:2697049]		Cluster/Outbreak investigation [GENEPIO:0100001]	University of British Columbia	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	2021-02-07	2021-02-08	24	Hour [UO:0000032]	Canada [GAZ:00002560]	British Columbia [GAZ:00002562]	WWTP#1	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Wastewater treatment plant [ENVO:00002272]	Not collected [GENEPIO:0001620]					Automatic composite sampler [GENEPIO:0100950]	Automatic composite sampling [GENEPIO:0100956]	Primary sludge [ENVO:00002057]																												Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]																										Research [GENEPIO:0100022]	Amplicon sequencing assay [OBI:0002767]	2021-02-27	University of British Columbia	smith@ubc.ca	University of British Columbia		Oxford Nanopore MinION [GENEPIO:0100142]	WWTP1-PS-07Feb21-ONT				artic-v3 [GENEPIO:0100849]		250																														Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]		Not collected [GENEPIO:0001620]																	
WWTP2-WW-07Feb21	WWTP#2	EpiWeek5	PRJNA731975	SAMN19321364	Not collected [GENEPIO:0001620]	Wastewater SARS-CoV-2 surveillance	Severe acute respiratory syndrome coronavirus 2 [NCBITaxon:2697049]		Cluster/Outbreak investigation [GENEPIO:0100001]	University of British Columbia	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	2021-02-07	2021-02-08	24	Hour [UO:0000032]	Canada [GAZ:00002560]	British Columbia [GAZ:00002562]	WWTP#2	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Wastewater treatment plant [ENVO:00002272]	Not collected [GENEPIO:0001620]					Automatic composite sampler [GENEPIO:0100950]	Automatic composite sampling [GENEPIO:0100956]	Wastewater [ENVO:00002001]																												527	liter per day (L/day) [GENEPIO:0102198]	22	liter per hour (L/h) [GENEPIO:0102197]																									Research [GENEPIO:0100022]	Amplicon sequencing assay [OBI:0002767]	2021-02-27	University of British Columbia	smith@ubc.ca	University of British Columbia		Oxford Nanopore MinION [GENEPIO:0100142]	WWTP2-WW-07Feb21-ONT				artic-v3 [GENEPIO:0100849]		250																														N1	N gene (orf9) [GENEPIO:0100153]	diagnostic target present [GENEPIO:0100987]	4.67E+03	copies per liter (C/L) [GENEPIO:0102202]	Quantitative real time polymerase chain reaction (qPCR) [OBI:0000893]															
WWTP3-WW-07Feb21-400	WWTP#3	EpiWeek5	PRJNA731975	SAMN19304050	Not collected [GENEPIO:0001620]	Wastewater SARS-CoV-2 surveillance	Severe acute respiratory syndrome coronavirus 2 [NCBITaxon:2697049]		Cluster/Outbreak investigation [GENEPIO:0100001]	University of British Columbia	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	2021-02-07	2021-02-08	24	Hour [UO:0000032]	Canada [GAZ:00002560]	British Columbia [GAZ:00002562]	WWTP#3	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Wastewater treatment plant [ENVO:00002272]	Not collected [GENEPIO:0001620]					Automatic composite sampler [GENEPIO:0100950]	Automatic composite sampling [GENEPIO:0100956]	Wastewater [ENVO:00002001]																												90	liter per day (L/day) [GENEPIO:0102198]	3	liter per hour (L/h) [GENEPIO:0102197]																									Research [GENEPIO:0100022]	Amplicon sequencing assay [OBI:0002767]	2021-02-27	University of British Columbia	smith@ubc.ca	University of British Columbia		Oxford Nanopore MinION [GENEPIO:0100142]	WWTP3-WW-07Feb21-400				artic-v3 [GENEPIO:0100849]		250																														N1	N gene (orf9) [GENEPIO:0100153]	diagnostic target present [GENEPIO:0100987]	3.74E+03	copies per liter (C/L) [GENEPIO:0102202]	Quantitative real time polymerase chain reaction (qPCR) [OBI:0000893]															
WWTP3-WW-07Feb21-1200	WWTP#3	EpiWeek5	PRJNA731975	SAMN19304105	Not collected [GENEPIO:0001620]	Wastewater SARS-CoV-2 surveillance	Severe acute respiratory syndrome coronavirus 2 [NCBITaxon:2697049]		Cluster/Outbreak investigation [GENEPIO:0100001]	University of British Columbia	Not collected [GENEPIO:0001620]	Not collected [GENEPIO:0001620]	2021-02-07	2021-02-08	24	Hour [UO:0000032]	Canada [GAZ:00002560]	British Columbia [GAZ:00002562]	WWTP#3	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Not Collected [GENEPIO:0001620]	Wastewater treatment plant [ENVO:00002272]	Not collected [GENEPIO:0001620]					Automatic composite sampler [GENEPIO:0100950]	Automatic composite sampling [GENEPIO:0100956]	Wastewater [ENVO:00002001]																												90	liter per day (L/day) [GENEPIO:0102198]	4	liter per hour (L/h) [GENEPIO:0102197]																									Research [GENEPIO:0100022]	Amplicon sequencing assay [OBI:0002767]	2021-02-27	University of British Columbia	smith@ubc.ca	University of British Columbia		Oxford Nanopore MinION [GENEPIO:0100142]	WWTP3-WW-07Feb21-1200				artic-v3 [GENEPIO:0100849]		250																														N1	N gene (orf9) [GENEPIO:0100153]	diagnostic target present [GENEPIO:0100987]	3.74E+03	copies per liter (C/L) [GENEPIO:0102202]	Quantitative real time polymerase chain reaction (qPCR) [OBI:0000893]															
